uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Droits d'inscription;Fonds de roulement net global;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Taxe d'apprentissage;Valorisation;rce;vague;Etablissement;commune;academie;region;code de la commune;code de l'academie;code de la region;source;id - paysage;CAF / Acquisitions d'immobilisations;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges de personnel;Charges de personnel / Produits encaissables;Charges décaissables / Produits.encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Formation continue, diplômes propres et VAE;Recettes propres;Ressources propres encaissables;Résultat net comptable;Résultat net comptable hors SIE;Solde budgétaire;Subventions Union Européenne;Subventions de la région;Taux de rémunération des permanents;Trésorerie;Trésorerie en jours de charges décaissables
0134009M;2022;104553455.0;18683540.0;63369324.0;16734541.0;58171940.0;-66562661.0;2.00092004853455;;;706451.0;10529568.0;84353804.0;709379968.0;25.9378043220978;2127110.0;1143241.0;2012;Vague C;Université AIX MARSEILLE;Marseille  7e;Aix-Marseille;Provence-Alpes-Côte d'Azur;13207;A02;R93;Budget;xJdyB;13.5759511725366;14194126.0;695185842.0;554157564.0;78.1185808731492;97.9990799514654;;43.682376143673;30532429.0;221222304.0;183997588.0;2265558.0;2583951.0;-44999554.0;10594585.0;8629575.0;;150916465.0;78.1516597686982
0141408E;2021;27249853.0;2100059.0;724873.0;5049954.0;9480389.0;-4600048.0;5.48885768345889;;;1450684.0;4375968.0;28209382.0;235267459.0;15.0328647873057;872768.0;307862.0;2011;Vague B;Université CAEN - BASSE-NORMANDIE;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;p25Q3;47.3892317877825;12913496.0;222353964.0;190611842.0;81.0192122659853;94.5111427415892;;45.6721226701405;15194573.0;50662779.0;35367439.0;9071360.0;9071360.0;1630899.0;4950150.0;6155499.0;83.4592036353576;32809430.0;53.1197851727977
0141720U;2013;923187.42;109467.68;0.0;2036841.89;713590.38;;4.181581725;4235648.47;24.67818592;648620.05;156988.96;3429201.72;17163532.54;28.70318752;301513.06;;2012;Vague B;ENSI CAEN;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;I4SPK;77.74230069;717707.14;16376944.53;11592067.22;67.53893578;95.41709722;1432872.64;75.38113211;82984.88;4926480.93;4926480.93;58925.12;;;;876474.03;73.3587760784367;3685304.8;81.01082138
0141720U;2018;2825771.0;0.0;529164.0;1108624.0;1626701.0;-1711597.0;9.18864718193745;;;341404.0;449725.0;4839671.0;16306753.0;25.5389530950766;244470.0;0.0;2012;Vague B;ENSI CAEN;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;I4SPK;53.0251743683405;1498370.0;14802542.0;11088934.0;68.0020970453161;90.775533302062;;117.701510997233;23463.0;6720340.0;4164574.0;552624.0;552624.0;1449681.0;66782.0;2330007.0;83.3280085666705;6551268.0;159.327801941045
0141720U;2021;2585474.0;937159.0;0.0;3813869.0;551059.0;-3180728.0;8.2966722309889;;;449390.0;203415.0;6812433.0;17700868.0;29.6432638218646;304556.0;0.0;2012;Vague B;ENSI CAEN;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;I4SPK;56.8013060661217;1468583.0;16232284.0;12223254.0;69.0545457996749;91.7033221195706;;151.086309234116;345089.0;8160602.0;5247115.0;641414.0;641414.0;1965505.0;376772.0;1179293.0;83.5658353088956;9993161.0;221.628574265951
0142382N;2016;503202.0;;;;;-3044608.0;3.8460102820017;;;;;564450.0;3670297.0;99.2098732064462;;;;Vague B;NORMANDIE UNIVERSITÉ;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;G1r6y;28.0523527330972;141160.0;3529135.0;1536954.0;41.8754667537804;96.1539352264953;;57.5784151073847;;3641297.0;3641297.0;70622.0;70622.0;366532.0;;;;3609058.0;368.152785314248
0142382N;2018;2369779.0;;629703.0;2454974.0;2062077.0;-2191998.0;17.1729721304405;;;;0.0;1528840.0;10354882.0;92.6482117323983;;38885.0;;Vague B;NORMANDIE UNIVERSITÉ;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;G1r6y;75.038263061661;1778241.0;8576641.0;5762181.0;55.6469981985309;82.8270278695595;;64.1722557817215;51024.0;9889407.0;9593613.0;1122086.0;1122086.0;-229141.0;420262.0;4232482.0;;3720838.0;156.18022020509
0142382N;2021;1100247.0;0.0;0.0;0.0;14174113.0;-7933679.0;-0.481388803404574;;;1210126.0;0.0;1386747.0;14271624.0;93.4832013511567;0.0;0.0;;Vague B;NORMANDIE UNIVERSITÉ;Caen;Caen;Normandie;14118;A05;R28;Comptes financiers;G1r6y;-6.24423424921858;-68702.0;14340326.0;10340414.0;72.4543611855245;100.481388803405;;34.8129407936751;0.0;15384239.0;13341571.0;10281.0;10281.0;1658753.0;0.0;0.0;;9320426.0;233.980270741404
0171463Y;2010;3248646.3;0.0;0.0;1138693.75;2997146.04;;-0.376991631555838;9767567.88;16.7853629696312;393384.53;983767.45;7801468.33999994;58190984.0;15.030144841682;452275.24;;;;Université LA ROCHELLE;;;;;;;Comptes financiers;atbEK;;;58410359.14;47917507.52;82.3452435861885;100.376991631556;102297.530000003;48.0827141580897;349929.81;8746189.18;8746189.18;;;;313103.45;1075990.82;;11350755.64;69.9580021517395
0171463Y;2012;3052262.13;0.0;0.0;1336039.06;2246388.46;;1.20352957560352;9751988.48;15.0943127244683;812841.18;954737.51;6072028.77000001;64607038.81;16.1801766379393;631658.84;;2009;Vague B;Université LA ROCHELLE;La Rochelle;Poitiers;Nouvelle-Aquitaine;17300;A13;R75;Comptes financiers;atbEK;25.4750341511459;777564.819999993;63829473.99;53246694.91;82.4162442525664;98.7964704243965;945750.039999993;34.2464103267163;583413.98;10453533.0;10453533.0;102090.609999993;;;1658111.77;1438627.29;80.1939356429023;8966679.14;50.5723185327475
0180974L;2013;;;;;;;;;;;;3012391.0;;;;;2014;Vague C;INSA Val de Loire;Bourges;Orléans-Tours;Centre-Val de Loire;18033;A18;R24;Comptes financiers;QYw7j;;494000.0;6812068.0;;;;;159.0;;;;372812.0;;;;;;3141280.0;166.0084
0180974L;2015;838318.0;0.0;0.0;581865.87;1177977.02;-691426.0;3.89554532975685;2599478.48;15.33011743;301206.94;474861.0;5835587.0;16956676.0;20.4222867736578;303544.72;;2014;Vague C;INSA Val de Loire;Bourges;Orléans-Tours;Centre-Val de Loire;18033;A18;R24;Comptes financiers;QYw7j;78.7952781641334;660555.0;16296122.0;13203869.0;77.8682626241134;96.1044605676254;1137129.07;129.0;4449.97;3462941.89;3462941.0;248552.0;;;388.37;571187.59;79.4119166601645;6527013.0;144.0
0211237F;2011;15922730.22;0.0;0.0;4893910.97;4515833.76;7552354.24000001;2.9327993883241;31129914.48;14.6364531956191;1707235.31;3716187.59;31235303.2699999;212687555.27;16.0506475034062;2200198.46;257486.49;2010;Vague C;Université DIJON - BOURGOGNE;Dijon;Dijon;Bourgogne-Franche-Comté;21231;A07;R27;Comptes financiers;Lr94O;39.1748100596785;6237699.32000004;205440851.25;171931699.23;80.8376865358851;96.5927935883223;9313866.87000004;54.7345336080035;4320922.65;34137729.78;34137729.78;3636970.19000004;;;3178181.88;8432223.76;83.533752388894;23682949.03;41.5003228370823
0211237F;2012;12272344.47;0.0;0.0;6716703.65;4418635.42;14882985.83;4.19397267730845;30804842.88;14.0392901820929;2050843.16;3850567.88;42051618.9299999;219418805.94;17.0042235760788;2357463.61;288540.88;2010;Vague C;Université DIJON - BOURGOGNE;Dijon;Dijon;Bourgogne-Franche-Comté;21231;A07;R27;Comptes financiers;Lr94O;74.9845703279875;9202364.77000004;210189258.13;175748649.99;80.0973504696122;95.7936386671779;11266355.12;72.0235798417297;4927214.14;37310464.33;37310464.33;4623215.17000004;;;3207460.03;7702623.41;83.5910736156942;27168633.1;46.5328628257051
0211237F;2014;15584367.87;984663.04;215499.53;5109643.92;5412714.49;8429028.79;2.570491604;28729583.37;12.93206713;1678120.66;4191322.74;40292170.11;222157703.7;15.76887028;2427202.71;242506.91;2010;Vague C;Université DIJON - BOURGOGNE;Dijon;Dijon;Bourgogne-Franche-Comté;21231;A07;R27;Comptes financiers;Lr94O;36.64277671;5710545.12;216400883.8;182605640.0;82.19640236;97.40867873;10115976.98;67.0292144;6037379.48;35031760.11;35031760.11;1938817.55;;;2948696.02;4769850.01;84.1114117790747;31863141.32;53.00685779
