Année;Organisme;Libellé organisme;Statut regroupé;Statut/Nature de contrat;Type d'emploi;Effectif au 31/12 (en ETPT);Libellé actuel de l'organisme;ROR;UAI;Paysage;Wikidata;SIREN
2014;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;CDD chercheurs;Emplois hors plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2014;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;CDD handicap;Emplois hors plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2014;ONERA;Office national d'études et de recherches aérospatiales;Permanents;CDI;Emplois hors plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2014;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;Emplois sous plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2014;ONERA;Office national d'études et de recherches aérospatiales;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2014;Pasteur;Institut Pasteur;Non permanents;Apprentis;;15.0;Institut Pasteur;0495fxg12;0755366A;Sn8Nt;Q391083;775684897
2014;Pasteur;Institut Pasteur;Non permanents;CDD handicap;;1.0;Institut Pasteur;0495fxg12;0755366A;Sn8Nt;Q391083;775684897
2014;Pasteur;Institut Pasteur;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;;5.0;Institut Pasteur;0495fxg12;0755366A;Sn8Nt;Q391083;775684897
2015;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Non permanents;Apprentis;Emplois hors plafond;0.0;Commissariat à l'énergie atomique et aux énergies alternatives;00jjx8s55;0912281K;zYXK8;Q868550;775685019
2015;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Non permanents;CDD doctorants, contrats doctoraux;Emplois sous plafond;0.0;Commissariat à l'énergie atomique et aux énergies alternatives;00jjx8s55;0912281K;zYXK8;Q868550;775685019
2015;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;Emplois sous plafond;0.0;Commissariat à l'énergie atomique et aux énergies alternatives;00jjx8s55;0912281K;zYXK8;Q868550;775685019
2015;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;0.0;Commissariat à l'énergie atomique et aux énergies alternatives;00jjx8s55;0912281K;zYXK8;Q868550;775685019
2015;CIRAD;Centre de coopération internationale en recherche agronomique pour le développement;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois sous plafond;25.0;Centre de coopération internationale en recherche agronomique pour le développement;05kpkpg04;"0755516N;0342214X";7dd3j;Q2945274;331596270
2015;CNES;Centre national d'études spatiales;Non permanents;CDD chercheurs;Emplois sous plafond;0.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;CDD doctorants, contrats doctoraux;Emplois sous plafond;14.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;CDD handicap;Emplois sous plafond;0.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;Emplois sous plafond;0.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;Stagiaires rémunérés;Emplois hors plafond;91.22;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;CNES;Centre national d'études spatiales;Non permanents;Volontaires civils ou militaires;Emplois hors plafond;0.0;Centre national d'études spatiales;04h1h0y33;0752743Z;CvdQn;Q48756;775665912
2015;Curie;Institut Curie;Non permanents;Apprentis;;5.0;Institut Curie;04t0gwh46;0753172R;etRot;Q2451973;784257164
2015;Curie;Institut Curie;Permanents;CDI;;216.41;Institut Curie;04t0gwh46;0753172R;etRot;Q2451973;784257164
2015;Curie;Institut Curie;Non permanents;Stagiaires rémunérés;;26.0;Institut Curie;04t0gwh46;0753172R;etRot;Q2451973;784257164
2015;IFPEN;IFP Energies nouvelles;Non permanents;Apprentis;Emplois hors plafond;0.0;IFP Energies nouvelles;03gcbhc33;0922642X;7053Q;Q84026;775729155
2015;IFPEN;IFP Energies nouvelles;Non permanents;CDD handicap;Emplois hors plafond;0.0;IFP Energies nouvelles;03gcbhc33;0922642X;7053Q;Q84026;775729155
2015;IFPEN;IFP Energies nouvelles;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;Emplois hors plafond;0.0;IFP Energies nouvelles;03gcbhc33;0922642X;7053Q;Q84026;775729155
2015;Ifremer;Institut français de recherche pour l'exploitation de la mer;Non permanents;Contrats de professionnalisation, diplômes de recherche et d’innovation;Emplois sous plafond;0.0;Institut français de recherche pour l'exploitation de la mer;044jxhp58;0922262J;F6Zt5;Q1657069;330715368
2015;Ifremer;Institut français de recherche pour l'exploitation de la mer;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;0.0;Institut français de recherche pour l'exploitation de la mer;044jxhp58;0922262J;F6Zt5;Q1657069;330715368
2015;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Apprentis;Emplois hors plafond;21.35;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2015;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;6.96;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2015;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Autres CDD, hors chercheurs;Emplois hors plafond;1.48;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2015;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2015;ONERA;Office national d'études et de recherches aérospatiales;Non permanents;Volontaires civils ou militaires;Emplois hors plafond;0.0;Office national d'études et de recherches aérospatiales;005y2ap84;0922641W;zO154;Q2007769;775722879
2015;Pasteur;Institut Pasteur;Non permanents;CDD doctorants, contrats doctoraux;;88.1525;Institut Pasteur;0495fxg12;0755366A;Sn8Nt;Q391083;775684897
2015;Pasteur;Institut Pasteur;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;;12.9666666667;Institut Pasteur;0495fxg12;0755366A;Sn8Nt;Q391083;775684897
2016;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Permanents;CDI;Emplois sous plafond;11203.9;Commissariat à l'énergie atomique et aux énergies alternatives;00jjx8s55;0912281K;zYXK8;Q868550;775685019
