Année;Organisme;Libellé organisme;Statut regroupé;Statut/Nature de contrat;Type d'emploi;Effectif au 31/12 (en ETPT);Libellé actuel de l'organisme;ROR;UAI;Paysage;Wikidata;SIREN
2019;INED;Institut national d'études démographiques;Non permanents;Apprentis;Emplois hors plafond;0.0;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2019;INED;Institut national d'études démographiques;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois sous plafond;131.46;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2019;INRA;Institut national de la recherche agronomique;Non permanents;Autres CDD, hors chercheurs;Emplois hors plafond;997.115;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2019;INRA;Institut national de la recherche agronomique;Non permanents;Vacataires;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2019;INRA;Institut national de la recherche agronomique;Non permanents;Vacataires;Emplois sous plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2019;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;CDD handicap;Emplois sous plafond;2.6353425011;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2019;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Volontaires civils ou militaires;Emplois sous plafond;0.0;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2019;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;CDD chercheurs;Emplois hors plafond;716.186666667;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2019;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;CDD handicap;Emplois hors plafond;0.0;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2019;INSERM;Institut national de la santé et de la recherche médicale;Permanents;CDI;Emplois sous plafond;45.3208333333;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
