"Année";"déflateur";"Dépense";"Valeur";"Valeur2025"
2003;0,7;"P150";NA;NA
2003;0,7;"CIR";0,4;0,571428571428572
2003;0,7;"Alternance";3,9;5,57142857142857
2004;0,71;"P150";NA;NA
2004;0,71;"CIR";0,9;1,26760563380282
2004;0,71;"Alternance";4,3;6,05633802816901
2005;0,72;"P150";NA;NA
2005;0,72;"CIR";0,9;1,25
2005;0,72;"Alternance";4,6;6,38888888888889
2006;0,732947;"P150";NA;NA
2006;0,732947;"CIR";0,96;1,30978092549666
2006;0,732947;"Alternance";4,6;6,27603360133816
2007;0,745407;"P150";NA;NA
2007;0,745407;"CIR";1,8;2,41478816270843
2007;0,745407;"Alternance";4,8;6,4394351005558
2008;0,756588;"P150";NA;NA
2008;0,756588;"CIR";4,5;5,9477549207759
2008;0,756588;"Alternance";5,1;6,74078891021269
2009;0,777772;"P150";NA;NA
2009;0,777772;"CIR";4,9;6,30004680034766
2009;0,777772;"Alternance";5,4;6,94290871875048
2010;0,77855;"P150";NA;NA
2010;0,77855;"CIR";5;6,42219510628733
2010;0,77855;"Alternance";5,7;7,32130242116756
2011;0,790228;"P150";10,267;12,9924528110874
2011;0,790228;"CIR";5,4;6,83347084638864
2011;0,790228;"Alternance";5,8;7,33965387204705
2012;0,806823;"P150";10,94;13,5593556455381
2012;0,806823;"CIR";5,7;7,06474654292205
2012;0,806823;"Alternance";5,9;7,31263238653335
2013;0,822959;"P150";11,517;13,9946218462888
2013;0,822959;"CIR";5,9;7,16925144509022
2013;0,822959;"Alternance";6,1;7,41227691780514
2014;0,830366;"P150";11,717;14,1106451853761
2014;0,830366;"CIR";6;7,22572937716621
2014;0,830366;"Alternance";6,3;7,58701584602452
2015;0,834518;"P150";11,795;14,1339072374712
2015;0,834518;"CIR";6,3;7,54926796066712
2015;0,834518;"Alternance";6,5;7,78892726100575
2016;0,834518;"P150";11,932;14,2980738582032
2016;0,834518;"CIR";6,4;7,66909761083644
2016;0,834518;"Alternance";7;8,38807551185235
2017;0,836187;"P150";12,395;14,8232392993433
2017;0,836187;"CIR";6,6;7,89297130904929
2017;0,836187;"Alternance";7,3;8,73010462970603
2018;0,844549;"P150";12,519;14,8232962208232
2018;0,844549;"CIR";6,8;8,05163465944545
2018;0,844549;"Alternance";7,8;9,23569857995214
2019;0,860595;"P150";12,65;14,69913257688
2019;0,860595;"CIR";6,75;7,84341066355254
2019;0,860595;"Alternance";17,4;20,218569710491
2020;0,870062;"P150";12,83;14,7460755670286
2020;0,870062;"CIR";6,84;7,86150872006823
2020;0,870062;"Alternance";19,4;22,2972615744625
2021;0,874412;"P150";13,1;14,9814961368325
2021;0,874412;"CIR";7,25;8,2912860299264
2021;0,874412;"Alternance";23,3;26,6464778616945
2022;0,888403;"P150";13,4;15,0832448787318
2022;0,888403;"CIR";7,3;8,21699161304048
2022;0,888403;"Alternance";24,8;27,9152591785485
2023;0,9346;"P150";14,055;15,0385191525786
2023;0,9346;"CIR";7,3;7,81082816178044
2023;0,9346;"Alternance";24,9;26,6424138668949
2024;0,980395;"P150";14,288;14,5737177362186
2024;0,980395;"CIR";7,7;7,85397722346605
2024;0,980395;"Alternance";24,6;25,091927233411
2025;1;"P150";14,381;14,381
2025;1;"CIR";7,8;7,8
2025;1;"Alternance";23;23
