"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"contractuels";"École";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";116
2015;"contractuels";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";34
2015;"contractuels";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";11
2015;"contractuels";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";1
2015;"contractuels";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";0
2015;"contractuels";"École";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Femme";1
2015;"contractuels";"École";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Homme";0
2015;"contractuels";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Femme";4
2015;"contractuels";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Homme";0
2015;"contractuels";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";228
2015;"contractuels";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";235
2015;"contractuels";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";104
2015;"contractuels";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";246
2015;"contractuels";"École";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Femme";6
2015;"contractuels";"École";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Homme";4
2015;"contractuels";"École";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Femme";4
2015;"contractuels";"École";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Homme";0
2015;"contractuels";"École";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";13
2015;"contractuels";"École";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";1
2015;"contractuels";"École";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";117
2015;"contractuels";"École";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";4
2015;"contractuels";"École";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";250
2015;"contractuels";"École";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";143
2015;"contractuels";"École";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";76
2015;"contractuels";"École";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";6
2015;"contractuels";"École";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";680
2015;"contractuels";"École";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";358
